pipeline,dimension,series,auc
ws,On/Off-Task,Full_Shuffled,0.5192701149425287
ws,On/Off-Task,Full_Shuffled,0.4795996168582375
ws,On/Off-Task,Full_Shuffled,0.5047662835249042
ws,On/Off-Task,Full_Shuffled,0.4569655172413793
ws,On/Off-Task,Full_Shuffled,0.5197471264367816
ws,On/Off-Task,Full_Shuffled,0.5525191570881227
ws,On/Off-Task,Full_Shuffled,0.4671743295019157
ws,On/Off-Task,Full_Shuffled,0.5492471264367816
ws,On/Off-Task,Full_Shuffled,0.5074233716475096
ws,On/Off-Task,Full_Shuffled,0.46294061302682
ws,On/Off-Task,Full_Shuffled,0.4797528735632184
ws,On/Off-Task,Full_Shuffled,0.4953007662835248
ws,On/Off-Task,Full_Shuffled,0.4856475095785441
ws,On/Off-Task,Full_Shuffled,0.4830421455938697
ws,On/Off-Task,Full_Shuffled,0.4707681992337165
ws,On/Off-Task,Full_Shuffled,0.4734157088122605
ws,On/Off-Task,Full_Shuffled,0.4977605363984675
