valence,selfother,time,Cluster,subject_id,task,probe_number
55.0,57.0,46.0,3,19,Sart1,9.0
61.0,64.0,48.0,1,19,Sart1,10.0
51.0,56.0,47.0,2,19,Sart1,12.0
58.0,61.0,48.0,1,19,Sart1,13.0
49.0,61.0,51.0,2,19,Sart2,1.0
49.0,61.0,51.0,2,29,Sart3,2.0
60.0,66.0,49.0,1,19,Sart2,2.0
59.0,70.0,49.0,1,19,Sart2,5.0
61.0,53.0,50.0,0,19,Sart2,7.0
57.0,62.0,43.0,3,19,Sart2,8.0
58.0,59.0,46.0,3,19,Sart2,9.0
55.0,56.0,48.0,2,19,Sart2,10.0
54.0,62.0,44.0,3,19,Sart2,11.0
59.0,59.0,47.0,3,19,Sart2,12.0
58.0,56.0,45.0,3,19,Sart2,13.0
56.0,57.0,54.0,1,19,Sart2,14.0
58.0,63.0,52.0,1,19,Sart3,1.0
49.0,57.0,46.0,2,19,Sart3,2.0
49.0,46.0,49.0,2,19,Sart3,3.0
61.0,47.0,53.0,0,19,Sart3,4.0
57.0,56.0,54.0,0,19,Sart3,6.0
64.0,59.0,49.0,1,19,Sart3,8.0
55.0,50.0,58.0,0,19,Sart3,13.0
58.0,65.0,48.0,1,19,Sart3,14.0
56.0,60.0,48.0,3,19,Sart4,1.0
45.0,68.0,48.0,2,19,Sart4,3.0
57.0,61.0,44.0,3,19,Sart4,4.0
62.0,59.0,49.0,1,19,Sart4,5.0
45.0,52.0,54.0,2,19,Sart4,6.0
57.0,42.0,51.0,0,19,Sart4,7.0
59.0,40.0,62.0,0,19,Sart4,8.0
52.0,63.0,47.0,2,19,Sart4,9.0
64.0,64.0,48.0,1,19,Sart4,10.0
60.0,55.0,62.0,0,19,Sart4,11.0
62.0,41.0,62.0,0,19,Sart4,12.0
55.0,39.0,63.0,0,19,Sart4,13.0
57.0,46.0,48.0,0,19,Sart4,14.0
62.0,34.0,55.0,0,22,Sart1,1.0
47.0,49.0,49.0,2,22,Sart4,3.0
49.0,19.0,47.0,3,23,Sart4,1.0
49.0,72.0,51.0,1,23,Sart4,4.0
49.0,63.0,50.0,1,23,Sart4,11.0
47.0,55.0,47.0,2,23,Sart4,12.0
29.0,39.0,57.0,2,24,Sart1,4.0
74.0,54.0,63.0,1,24,Sart1,5.0
51.0,48.0,51.0,3,24,Sart1,10.0
43.0,44.0,60.0,2,24,Sart2,1.0
41.0,40.0,59.0,2,24,Sart2,2.0
40.0,34.0,68.0,2,24,Sart2,3.0
40.0,40.0,66.0,2,24,Sart2,4.0
44.0,45.0,66.0,2,24,Sart2,13.0
53.0,38.0,81.0,0,24,Sart4,1.0
64.0,57.0,72.0,1,24,Sart4,5.0
57.0,48.0,67.0,1,24,Sart4,14.0
39.0,28.0,38.0,2,25,Sart2,1.0
44.0,23.0,69.0,0,25,Sart2,2.0
45.0,48.0,49.0,1,25,Sart2,3.0
50.0,21.0,50.0,0,25,Sart2,4.0
86.0,23.0,84.0,0,25,Sart2,5.0
49.0,37.0,59.0,1,25,Sart2,6.0
83.0,51.0,88.0,1,25,Sart2,7.0
50.0,52.0,51.0,1,25,Sart2,8.0
48.0,49.0,47.0,1,25,Sart2,9.0
48.0,49.0,47.0,1,30,Sart4,2.0
71.0,29.0,26.0,3,25,Sart2,10.0
40.0,34.0,58.0,2,25,Sart2,11.0
75.0,24.0,27.0,3,25,Sart2,12.0
54.0,51.0,48.0,1,25,Sart2,13.0
43.0,20.0,55.0,2,25,Sart4,1.0
52.0,53.0,56.0,1,25,Sart4,2.0
36.0,26.0,48.0,2,25,Sart4,3.0
51.0,30.0,65.0,0,25,Sart4,4.0
38.0,32.0,49.0,2,25,Sart4,5.0
27.0,14.0,47.0,2,25,Sart4,6.0
35.0,12.0,52.0,2,25,Sart4,7.0
42.0,28.0,38.0,3,25,Sart4,9.0
52.0,17.0,52.0,0,25,Sart4,11.0
45.0,18.0,52.0,2,25,Sart4,12.0
42.0,20.0,51.0,2,25,Sart4,15.0
49.0,72.0,60.0,1,26,Sart2,8.0
49.0,60.0,88.0,1,26,Sart4,6.0
30.0,21.0,42.0,2,26,Sart4,10.0
97.0,67.0,51.0,0,27,Sart2,1.0
97.0,52.0,81.0,0,27,Sart2,7.0
98.0,81.0,25.0,3,27,Sart2,11.0
94.0,47.0,72.0,0,27,Sart2,12.0
98.0,68.0,32.0,3,27,Sart3,2.0
98.0,82.0,26.0,3,27,Sart3,4.0
97.0,72.0,59.0,1,27,Sart3,5.0
99.0,82.0,75.0,1,27,Sart3,6.0
96.0,53.0,52.0,0,27,Sart3,8.0
99.0,51.0,53.0,0,27,Sart3,10.0
100.0,74.0,57.0,1,27,Sart3,12.0
97.0,78.0,29.0,3,27,Sart3,13.0
99.0,73.0,73.0,1,27,Sart3,14.0
31.0,87.0,31.0,2,27,Sart4,1.0
78.0,66.0,55.0,2,27,Sart4,2.0
82.0,70.0,72.0,1,27,Sart4,3.0
56.0,71.0,63.0,2,27,Sart4,4.0
65.0,74.0,69.0,2,27,Sart4,5.0
90.0,71.0,44.0,1,27,Sart4,6.0
92.0,74.0,32.0,3,27,Sart4,7.0
94.0,54.0,51.0,0,27,Sart4,8.0
96.0,91.0,16.0,3,27,Sart4,9.0
97.0,52.0,28.0,3,27,Sart4,10.0
96.0,73.0,60.0,1,27,Sart4,11.0
98.0,79.0,24.0,3,27,Sart4,12.0
95.0,23.0,26.0,0,27,Sart4,13.0
98.0,82.0,25.0,3,27,Sart4,14.0
21.0,91.0,20.0,2,28,Sart2,1.0
36.0,20.0,52.0,2,28,Sart2,7.0
73.0,28.0,88.0,0,28,Sart2,9.0
50.0,31.0,28.0,3,28,Sart2,10.0
49.0,28.0,50.0,2,28,Sart2,13.0
39.0,11.0,53.0,2,28,Sart3,1.0
53.0,19.0,51.0,0,28,Sart3,2.0
48.0,88.0,72.0,1,28,Sart3,3.0
37.0,77.0,7.0,3,28,Sart3,7.0
54.0,26.0,72.0,0,28,Sart3,8.0
49.0,30.0,58.0,2,28,Sart3,9.0
51.0,24.0,77.0,0,28,Sart3,12.0
67.0,26.0,71.0,0,28,Sart4,4.0
86.0,70.0,88.0,1,28,Sart4,6.0
72.0,82.0,51.0,1,28,Sart4,9.0
48.0,30.0,80.0,0,28,Sart4,12.0
73.0,24.0,85.0,0,28,Sart4,14.0
38.0,50.0,34.0,2,28,Sart4,15.0
45.0,11.0,81.0,0,29,Sart1,1.0
37.0,64.0,52.0,2,29,Sart1,2.0
50.0,92.0,66.0,1,29,Sart1,4.0
32.0,12.0,49.0,2,29,Sart1,5.0
8.0,86.0,88.0,2,29,Sart1,6.0
96.0,65.0,8.0,3,29,Sart1,7.0
75.0,89.0,76.0,1,29,Sart1,9.0
22.0,32.0,54.0,2,29,Sart1,10.0
38.0,29.0,52.0,2,29,Sart1,11.0
84.0,74.0,48.0,1,29,Sart1,12.0
51.0,79.0,52.0,1,29,Sart1,14.0
13.0,52.0,50.0,2,29,Sart1,15.0
66.0,69.0,14.0,3,29,Sart2,1.0
48.0,59.0,52.0,2,29,Sart2,2.0
14.0,90.0,52.0,2,29,Sart2,4.0
83.0,90.0,19.0,3,29,Sart2,5.0
50.0,92.0,91.0,1,29,Sart2,6.0
42.0,80.0,49.0,1,29,Sart2,7.0
41.0,50.0,49.0,2,29,Sart2,9.0
48.0,6.0,51.0,0,29,Sart2,10.0
59.0,63.0,44.0,3,29,Sart2,12.0
53.0,28.0,28.0,3,29,Sart2,13.0
78.0,78.0,82.0,1,29,Sart2,14.0
85.0,94.0,94.0,1,29,Sart2,15.0
64.0,47.0,25.0,3,29,Sart3,1.0
49.0,61.0,51.0,2,19,Sart2,1.0
49.0,61.0,51.0,2,29,Sart3,2.0
66.0,52.0,45.0,0,29,Sart3,3.0
53.0,49.0,40.0,3,29,Sart3,4.0
47.0,67.0,51.0,2,29,Sart3,5.0
53.0,42.0,47.0,0,29,Sart3,6.0
24.0,96.0,88.0,1,29,Sart3,7.0
58.0,73.0,36.0,3,29,Sart3,8.0
47.0,82.0,53.0,1,29,Sart3,9.0
63.0,64.0,54.0,1,29,Sart3,10.0
58.0,86.0,92.0,1,29,Sart3,13.0
44.0,36.0,49.0,2,29,Sart4,2.0
51.0,77.0,50.0,1,29,Sart4,3.0
35.0,83.0,15.0,3,29,Sart4,4.0
60.0,58.0,48.0,0,29,Sart4,5.0
43.0,81.0,83.0,1,29,Sart4,6.0
49.0,49.0,77.0,0,29,Sart4,7.0
28.0,94.0,9.0,3,29,Sart4,8.0
60.0,31.0,58.0,0,29,Sart4,9.0
73.0,98.0,8.0,3,29,Sart4,10.0
28.0,55.0,30.0,2,29,Sart4,11.0
41.0,29.0,22.0,3,29,Sart4,12.0
35.0,67.0,54.0,2,29,Sart4,13.0
73.0,50.0,50.0,0,29,Sart4,14.0
47.0,83.0,76.0,1,29,Sart4,15.0
20.0,0.0,49.0,2,30,Sart1,2.0
57.0,100.0,46.0,1,30,Sart1,3.0
92.0,10.0,75.0,0,30,Sart1,7.0
27.0,24.0,47.0,2,30,Sart1,9.0
59.0,34.0,33.0,3,30,Sart2,1.0
51.0,24.0,22.0,3,30,Sart2,2.0
48.0,27.0,46.0,0,30,Sart2,3.0
47.0,31.0,48.0,0,30,Sart2,5.0
42.0,59.0,23.0,3,30,Sart2,6.0
41.0,32.0,49.0,2,30,Sart2,7.0
24.0,25.0,25.0,2,30,Sart2,8.0
48.0,27.0,28.0,3,30,Sart2,9.0
48.0,27.0,28.0,3,30,Sart2,10.0
48.0,27.0,28.0,3,30,Sart2,9.0
48.0,27.0,28.0,3,30,Sart2,10.0
42.0,6.0,26.0,3,30,Sart2,11.0
35.0,14.0,46.0,2,30,Sart2,13.0
36.0,22.0,46.0,2,30,Sart2,14.0
38.0,28.0,46.0,2,30,Sart3,1.0
46.0,33.0,42.0,3,30,Sart3,2.0
54.0,36.0,56.0,1,30,Sart3,3.0
38.0,19.0,63.0,0,30,Sart3,4.0
46.0,33.0,57.0,1,30,Sart3,5.0
48.0,42.0,48.0,1,30,Sart3,6.0
49.0,38.0,35.0,3,30,Sart3,8.0
49.0,41.0,47.0,1,30,Sart3,9.0
58.0,31.0,51.0,0,30,Sart3,10.0
48.0,30.0,63.0,0,30,Sart3,11.0
46.0,30.0,75.0,0,30,Sart3,12.0
46.0,21.0,33.0,3,30,Sart3,14.0
48.0,49.0,47.0,1,25,Sart2,9.0
48.0,49.0,47.0,1,30,Sart4,2.0
30.0,30.0,27.0,2,30,Sart4,3.0
41.0,41.0,47.0,1,30,Sart4,4.0
45.0,44.0,46.0,1,30,Sart4,5.0
47.0,30.0,46.0,0,30,Sart4,6.0
50.0,30.0,69.0,0,30,Sart4,7.0
49.0,45.0,50.0,1,30,Sart4,8.0
47.0,46.0,47.0,1,30,Sart4,9.0
47.0,30.0,47.0,0,30,Sart4,10.0
38.0,37.0,38.0,2,30,Sart4,11.0
47.0,47.0,47.0,1,30,Sart4,13.0
46.0,46.0,50.0,1,30,Sart4,14.0
51.0,35.0,53.0,2,32,Sart2,1.0
79.0,16.0,78.0,0,32,Sart2,2.0
49.0,11.0,11.0,3,32,Sart2,4.0
53.0,23.0,68.0,0,32,Sart2,5.0
47.0,45.0,44.0,2,32,Sart2,6.0
60.0,94.0,49.0,1,32,Sart2,7.0
45.0,20.0,44.0,2,32,Sart2,8.0
86.0,87.0,90.0,1,32,Sart2,9.0
95.0,1.0,49.0,0,32,Sart2,10.0
48.0,87.0,50.0,1,32,Sart2,11.0
83.0,82.0,84.0,1,32,Sart2,12.0
50.0,9.0,51.0,2,32,Sart2,13.0
96.0,1.0,88.0,0,32,Sart2,14.0
79.0,13.0,15.0,3,32,Sart2,15.0
52.0,54.0,57.0,2,32,Sart4,1.0
88.0,12.0,88.0,0,32,Sart4,2.0
51.0,85.0,50.0,1,32,Sart4,5.0
45.0,78.0,9.0,3,32,Sart4,6.0
47.0,83.0,73.0,1,32,Sart4,7.0
52.0,87.0,23.0,3,32,Sart4,8.0
